ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5000000,M,N,Y,1,62112.44,Commercial associate,Higher education,Married,Rented apartment,-12618,-9034,1,0,0,0,Managers,3
5000001,F,Y,Y,2,84665.68,Working,Secondary / secondary special,Married,Municipal apartment,-14086,-1522,1,1,1,1,High skill tech staff,4
5000002,F,Y,Y,0,65361.49,Working,Higher education,Civil marriage,House / apartment,-12862,-402,1,0,0,0,Cooking staff,2
5000003,F,N,Y,0,91076.76,Pensioner,Secondary / secondary special,Married,House / apartment,-14890,365243,1,0,1,0,Private service staff,2
5000004,M,N,Y,0,60577.15,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13108,-270,1,0,1,0,Sales staff,1
5000005,M,N,Y,1,27000.0,Student,Higher education,Married,House / apartment,-10645,-4322,1,1,1,0,Medicine staff,3
5000006,M,N,Y,1,66481.59,Working,Secondary / secondary special,Married,House / apartment,-20815,-1084,1,0,1,0,Security staff,3
5000007,F,Y,Y,0,34190.51,Working,Secondary / secondary special,Married,House / apartment,-20813,-1807,1,0,0,0,Accountants,2
5000008,F,N,Y,0,73245.55,Working,Secondary / secondary special,Single / not married,House / apartment,-17838,-5247,1,0,0,0,Cleaning staff,1
5000009,F,Y,Y,2,39087.58,State servant,Secondary / secondary special,Civil marriage,Rented apartment,-23215,-7861,1,0,1,0,Laborers,4
5000010,M,N,N,2,94718.04,Commercial associate,Higher education,Widow,With parents,-20237,-4939,1,0,1,0,Private service staff,4
5000011,F,Y,Y,0,143966.77,Working,Secondary / secondary special,Single / not married,House / apartment,-18676,-1790,1,0,0,0,Accountants,1
5000012,F,Y,N,0,30806.6,Working,Secondary / secondary special,Married,Municipal apartment,-11783,-372,1,0,0,0,Cooking staff,2
5000013,M,Y,N,0,27000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10553,-568,1,0,1,0,Managers,2
5000014,M,Y,Y,0,62931.75,Commercial associate,Secondary / secondary special,Married,House / apartment,-15775,-5037,1,1,0,0,High skill tech staff,2
5000015,M,N,Y,0,128628.1,Working,Secondary / secondary special,Married,House / apartment,-15891,-2503,1,0,1,0,Laborers,2
5000016,M,N,Y,1,79062.75,Commercial associate,Secondary / secondary special,Married,House / apartment,-7872,-296,1,0,0,0,Cleaning staff,3
5000017,F,N,Y,0,59080.91,Working,Higher education,Widow,House / apartment,-12332,-1446,1,0,0,0,Core staff,2
5000018,M,N,Y,0,42706.72,Working,Secondary / secondary special,Married,House / apartment,-17836,-489,1,1,1,0,High skill tech staff,2
5000019,M,Y,N,0,105002.76,Pensioner,Higher education,Married,House / apartment,-9811,365243,1,0,1,0,Drivers,2
5000020,F,Y,Y,0,157737.25,Working,Secondary / secondary special,Married,House / apartment,-18456,-2280,1,0,0,0,Cleaning staff,2
5000021,M,Y,N,0,28718.94,Working,Secondary / secondary special,Married,Rented apartment,-13821,-2327,1,0,1,0,Cleaning staff,2
5000022,M,Y,N,0,84702.57,Working,Incomplete higher,Separated,House / apartment,-15432,-278,1,0,0,0,Laborers,2
5000023,M,N,Y,0,261045.51,Working,Secondary / secondary special,Married,With parents,-12687,-2442,1,0,1,0,Sales staff,2
5000024,F,N,Y,0,54024.17,State servant,Higher education,Single / not married,House / apartment,-17858,-1743,1,0,1,0,Sales staff,1
5000025,F,Y,Y,4,66478.01,Commercial associate,Higher education,Married,House / apartment,-18978,-1866,1,0,0,0,Managers,6
5000026,M,Y,Y,1,71876.1,State servant,Incomplete higher,Married,House / apartment,-15047,-880,1,1,0,0,Accountants,3
5000027,F,Y,Y,0,59620.39,Pensioner,Secondary / secondary special,Married,Municipal apartment,-17683,365243,1,0,0,0,Medicine staff,2
5000028,F,Y,N,0,126567.85,Student,Secondary / secondary special,Civil marriage,House / apartment,-13932,-171,1,0,0,0,Managers,2
5000029,M,Y,Y,0,180011.13,State servant,Secondary / secondary special,Married,Municipal apartment,-23776,-5483,1,1,0,0,Sales staff,2
5000030,F,N,Y,0,31185.78,Pensioner,Higher education,Married,House / apartment,-12935,365243,1,0,0,0,Security staff,2
5000031,M,Y,N,0,45835.27,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-16023,-1439,1,0,0,0,Laborers,2
5000032,M,N,Y,0,136364.88,Pensioner,Secondary / secondary special,Married,House / apartment,-19021,365243,1,0,0,0,Cooking staff,2
5000033,F,Y,Y,0,98731.31,State servant,Secondary / secondary special,Married,House / apartment,-18843,-478,1,0,0,0,High skill tech staff,2
5000034,F,Y,Y,1,90976.62,State servant,Higher education,Married,House / apartment,-8569,-10138,1,0,0,1,Accountants,3
5000035,F,N,Y,1,103597.92,State servant,Higher education,Separated,House / apartment,-14759,-109,1,0,0,0,Laborers,3
5000036,M,N,N,4,76731.27,Working,Higher education,Single / not married,House / apartment,-16122,-130,1,0,0,1,Accountants,5
5000037,M,Y,N,0,93022.08,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11461,365243,1,1,0,1,Cleaning staff,1
5000038,F,N,Y,4,62148.47,Commercial associate,Incomplete higher,Married,House / apartment,-12948,-3336,1,1,1,0,Sales staff,6
5000039,M,Y,Y,0,65250.84,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21011,-4123,1,0,0,1,High skill tech staff,1
5000040,M,Y,Y,0,69729.72,Pensioner,Secondary / secondary special,Civil marriage,Rented apartment,-11584,365243,1,0,0,0,Sales staff,2
5000041,F,N,N,3,59654.4,Pensioner,Secondary / secondary special,Single / not married,With parents,-9539,365243,1,1,1,0,Drivers,4
5000042,M,N,N,0,92448.64,Pensioner,Incomplete higher,Married,House / apartment,-23773,365243,1,1,1,1,Drivers,2
5000043,F,Y,Y,0,84864.78,Pensioner,Incomplete higher,Married,House / apartment,-17671,365243,1,0,0,0,Laborers,2
5000044,M,Y,Y,0,28765.07,Working,Lower secondary,Single / not married,House / apartment,-12387,-665,1,0,0,0,Cleaning staff,1
5000045,F,N,N,0,66062.76,Commercial associate,Secondary / secondary special,Married,House / apartment,-21021,-2291,1,0,0,0,Security staff,2
5000046,M,Y,Y,4,73891.69,Working,Secondary / secondary special,Married,Rented apartment,-14746,-1579,1,0,0,1,Laborers,6
5000047,F,Y,N,0,157168.23,Working,Secondary / secondary special,Single / not married,House / apartment,-16154,-4338,1,0,1,0,Managers,1
5000048,F,N,N,4,63363.25,State servant,Higher education,Civil marriage,With parents,-12534,-807,1,0,1,0,Private service staff,6
5000049,M,N,Y,0,76743.47,Pensioner,Higher education,Single / not married,House / apartment,-25567,365243,1,0,1,0,Drivers,1
