ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,IS_PENSIONER,EMPLOYMENT_YEARS,INCOME_PER_FAMILY_MEMBER,INCOME_BAND,TARGET
5000000,M,N,Y,1,62112.44,Commercial associate,Higher education,Married,Rented apartment,0,0,0,Managers,3,34.5,0,24.7,20704.15,Low,0
5000001,F,Y,Y,2,84665.68,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,High skill tech staff,4,38.6,0,4.2,21166.42,Low,0
5000002,F,Y,Y,0,65361.49,Working,Higher education,Civil marriage,House / apartment,0,0,0,Cooking staff,2,35.2,0,1.1,32680.74,Low,1
5000003,F,N,Y,0,91076.76,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,Private service staff,2,40.8,1,0.0,45538.38,Low,1
5000004,M,N,Y,0,60577.15,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Sales staff,1,35.9,0,0.7,60577.15,Low,0
5000005,M,N,Y,1,27000.0,Student,Higher education,Married,House / apartment,1,1,0,Medicine staff,3,29.1,0,11.8,9000.0,Low,0
5000006,M,N,Y,1,66481.59,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Security staff,3,57.0,0,3.0,22160.53,Low,0
5000007,F,Y,Y,0,34190.51,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,2,57.0,0,4.9,17095.26,Low,1
5000008,F,N,Y,0,73245.55,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Cleaning staff,1,48.8,0,14.4,73245.55,Low,0
5000009,F,Y,Y,2,39087.58,State servant,Secondary / secondary special,Civil marriage,Rented apartment,0,1,0,Laborers,4,63.6,0,21.5,9771.9,Low,0
5000010,M,N,N,2,94718.04,Commercial associate,Higher education,Widow,With parents,0,1,0,Private service staff,4,55.4,0,13.5,23679.51,Low,0
5000011,F,Y,Y,0,143966.77,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Accountants,1,51.1,0,4.9,143966.77,Medium,1
5000012,F,Y,N,0,30806.6,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,Cooking staff,2,32.3,0,1.0,15403.3,Low,0
5000013,M,Y,N,0,27000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,2,28.9,0,1.6,13500.0,Low,0
5000014,M,Y,Y,0,62931.75,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,2,43.2,0,13.8,31465.88,Low,1
5000015,M,N,Y,0,128628.1,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,43.5,0,6.9,64314.05,Medium,1
5000016,M,N,Y,1,79062.75,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,3,21.6,0,0.8,26354.25,Low,0
5000017,F,N,Y,0,59080.91,Working,Higher education,Widow,House / apartment,0,0,0,Core staff,2,33.8,0,4.0,29540.46,Low,0
5000018,M,N,Y,0,42706.72,Working,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2,48.8,0,1.3,21353.36,Low,0
5000019,M,Y,N,0,105002.76,Pensioner,Higher education,Married,House / apartment,0,1,0,Drivers,2,26.9,1,0.0,52501.38,Medium,0
5000020,F,Y,Y,0,157737.25,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,50.5,0,6.2,78868.62,Medium,0
5000021,M,Y,N,0,28718.94,Working,Secondary / secondary special,Married,Rented apartment,0,1,0,Cleaning staff,2,37.8,0,6.4,14359.47,Low,0
5000022,M,Y,N,0,84702.57,Working,Incomplete higher,Separated,House / apartment,0,0,0,Laborers,2,42.3,0,0.8,42351.28,Low,0
5000023,M,N,Y,0,261045.51,Working,Secondary / secondary special,Married,With parents,0,1,0,Sales staff,2,34.7,0,6.7,130522.76,High,0
